Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2018-10-20,12:30 (05:30),Premier League,Matchweek 9,Sat,Home,D,2,2,Manchester Utd,1.8,0.8,62,40721,César Azpilicueta,4-3-3,Mike Dean,Match Report,
2018-10-25,20:00 (13:00),Europa Lg,Group stage,Thu,Home,W,3,1,by BATE Borisov,3.1,0.8,69,39799,Gary Cahill,4-3-3,Paolo Mazzoleni,Match Report,
2018-10-28,13:30 (07:30),Premier League,Matchweek 10,Sun,Away,W,4,0,Burnley,2.6,0.4,69,21430,César Azpilicueta,4-3-3,Craig Pawson,Match Report,
2018-10-31,19:45 (13:45),EFL Cup,Fourth round,Wed,Home,W,3,2,Derby County,,,70,39564,Gary Cahill,4-3-3,Jonathan Moss,Match Report,
2018-11-04,16:00 (09:00),Premier League,Matchweek 11,Sun,Home,W,3,1,Crystal Palace,1.7,0.4,73,40407,César Azpilicueta,4-3-3,Michael Oliver,Match Report,
2018-11-08,20:55 (10:55),Europa Lg,Group stage,Thu,Away,W,1,0,by BATE Borisov,1.0,1.1,73,13141,Gary Cahill,4-3-3,Miloš Bošković,Match Report,
2018-11-11,14:15 (07:15),Premier League,Matchweek 12,Sun,Home,D,0,0,Everton,1.2,0.3,68,40345,César Azpilicueta,4-3-3,Kevin Friend,Match Report,
2018-11-24,17:30 (10:30),Premier League,Matchweek 13,Sat,Away,L,1,3,Tottenham,1.0,3.1,60,55465,César Azpilicueta,4-3-3,Martin Atkinson,Match Report,
2018-11-29,20:00 (13:00),Europa Lg,Group stage,Thu,Home,W,4,0,gr PAOK,2.1,0.3,63,33933,Gary Cahill,4-3-3,Kristo Tohver,Match Report,
2018-12-02,12:00 (05:00),Premier League,Matchweek 14,Sun,Home,W,2,0,Fulham,2.1,0.4,65,40551,César Azpilicueta,4-3-3,Craig Pawson,Match Report,
2018-12-05,19:45 (12:45),Premier League,Matchweek 15,Wed,Away,L,1,2,Wolves,1.3,0.7,70,31300,César Azpilicueta,4-3-3,Jonathan Moss,Match Report,
2018-12-08,17:30 (10:30),Premier League,Matchweek 16,Sat,Home,W,2,0,Manchester City,0.6,0.9,39,40571,César Azpilicueta,4-3-3,Michael Oliver,Match Report,
2018-12-13,18:55 (10:55),Europa Lg,Group stage,Thu,Away,D,2,2,hu Vidi,1.4,0.6,75,19242,Cesc Fàbregas,4-3-3,Aleksandar Stavrev,Match Report,
2018-12-16,13:30 (06:30),Premier League,Matchweek 17,Sun,Away,W,2,1,Brighton,1.2,0.4,57,30645,César Azpilicueta,4-3-3,Stuart Attwell,Match Report,
2018-12-19,19:45 (12:45),EFL Cup,Quarter-finals,Wed,Home,W,1,0,Bournemouth,,,73,40432,César Azpilicueta,4-3-3,Anthony Taylor,Match Report,
2018-12-22,15:00 (08:00),Premier League,Matchweek 18,Sat,Home,L,0,1,Leicester City,2.4,0.5,72,40558,César Azpilicueta,4-3-3,Lee Probert,Match Report,
2018-12-26,19:30 (12:30),Premier League,Matchweek 19,Wed,Away,W,2,1,Watford,1.9,1.2,65,20415,César Azpilicueta,4-3-3,Martin Atkinson,Match Report,
2018-12-30,12:00 (05:00),Premier League,Matchweek 20,Sun,Away,W,1,0,Crystal Palace,0.9,0.2,65,25781,César Azpilicueta,4-3-3,Craig Pawson,Match Report,
2019-01-02,19:45 (12:45),Premier League,Matchweek 21,Wed,Home,D,0,0,Southampton,0.9,0.2,71,40668,César Azpilicueta,4-3-3,Jonathan Moss,Match Report,
2019-01-05,15:00 (08:00),FA Cup,Third round,Sat,Home,W,2,0,Nott'ham Forest,,,62,40544,Cesc Fàbregas,4-3-3,Andy Madley,Match Report,
2019-01-08,20:00 (13:00),EFL Cup,Semi-finals,Tue,Away,L,0,1,Tottenham,,,58,44371,César Azpilicueta,4-3-3,Michael Oliver,Match Report,Leg 1 of 2
2019-01-12,17:30 (10:30),Premier League,Matchweek 22,Sat,Home,W,2,1,Newcastle Utd,1.3,0.5,65,40491,César Azpilicueta,4-3-3,Chris Kavanagh,Match Report,
